SYMPTOMS,SPECIALIST 1,SPECIALIST 2,SPECIALIST 3,SPECIALIST 4,SPECIALIST 5
Hives,Family Medicine,Internal Medicine - General,Allergy & Immunology,Dermatology,Pediatric Dermatology
Poison Ivy,Family Medicine,Internal Medicine - General,Allergy & Immunology,Dermatology,Pediatric Dermatology
Rash or Redness - Localized,Family Medicine,Internal Medicine - General,Allergy & Immunology,Dermatology,Pediatric Dermatology
Rash or Redness - Widespread,Family Medicine,Internal Medicine - General,Allergy & Immunology,Dermatology,Pediatric Dermatology
Bee Sting,Family Medicine,Internal Medicine - General,Allergy & Immunology,Emergency Medicine,Pediatric Emergency Medicine
Insect Bites,Family Medicine,Internal Medicine - General,Allergy & Immunology,,Pediatric Emergency Medicine
Spider Bite,Family Medicine,Internal Medicine - General,Allergy & Immunology,,Pediatric Emergency Medicine
Chest Pain,Family Medicine,Internal Medicine - General,Cardiology,Emergency Medicine,Pediatric Cardiology
High Blood Pressure,Family Medicine,Internal Medicine - General,Cardiology,,Pediatric Cardiology
Tooth Injury,Family Medicine,Internal Medicine - General,Dentistry - General,,Pedodontics
Toothache,Family Medicine,Internal Medicine - General,Dentistry - General,,Pedodontics
Frostbite,Family Medicine,Internal Medicine - General,Dermatology,Emergency Medicine,Pediatric Emergency Medicine
Skin Injury,Family Medicine,Internal Medicine - General,Dermatology,Emergency Medicine,Pediatric Emergency Medicine
Jock Itch,Family Medicine,Internal Medicine - General,Dermatology,,Pediatric Dermatology
Skin Foreign Body,Family Medicine,Internal Medicine - General,Dermatology,,Pediatric Dermatology
Sunburn,Family Medicine,Internal Medicine - General,Dermatology,,Pediatric Dermatology
Snake Bite,Family Medicine,Internal Medicine - General,Emergency Medicine,,Pediatric Emergency Medicine
Abdominal Pain - Female,Family Medicine,Internal Medicine - General,Gastroenterology,Obstetrics & Gynecology,Pediatric Gastroenterology & Nutrition
Stomach Pain - Female,Family Medicine,Internal Medicine - General,Gastroenterology,Obstetrics & Gynecology,Pediatric Gastroenterology & Nutrition
Stomach Pain - Upper,Family Medicine,Internal Medicine - General,Gastroenterology,,Pediatric Gastroenterology & Nutrition
Abdominal Pain - Upper,Family Medicine,Internal Medicine - General,Gastroenterology,,Pediatric Gastroenterology & Nutrition
